Botanical,Botanical,SMP
Geological,Geological,SMP
Paleontological,Paleontological,SMP
Sample,Sample,SMP
SoilCore,SoilCore,SMP
ShovelTestPit,ShovelTestPit,STP
TrowelTestPit,TrowelTestPit,TTP
Other,Other,NULL
