ChippedStone,ChippedStone,CS
GroundStone,GroundStone,GS
ProjectilePoint,ProjectilePoint,PP
StoneTool,StoneTool,TL
Shell,Shell,SH
Pottery,Pottery,PO
Hist-Agriculture,Hist-Agriculture,HA
Hist-Domestic,Hist-Domestic,HD
Hist-Industrial,Hist-Industrial,HI
Hist-Structural,Hist-Structural,HS
Hist-Transportation,Hist-Transportation,HT
Other,Other,ART
